scheme_code,scheme_name,Risk,mf_category,mf_sub_category,fund_name
120717, UTI Nifty Index Fund - Direct Plan - IDCW,High,Other Scheme,Indexs/ETFs,UTI Nifty Index Fund
120718, UTI - Short Term Income Fund - Direct Plan - Growth Option,Moderate,Debt Scheme,Short Duration,UTI
120719, UTI Short Term Income Fund - Direct Plan - Quarterly IDCW,Moderate,Debt Scheme,Short Duration,UTI Short Term Income Fund
120722, ICICI Prudential Focused Equity Fund - Direct Plan - Growth,Moderately High,Equity Scheme,Focused,ICICI Prudential Focused Equity Fund
120723, ICICI Prudential Focused Equity Fund - Direct Plan - IDCW,Moderate,Equity Scheme,Focused,ICICI Prudential Focused Equity Fund
120724, UTI CCF Investment Plan - Direct Plan - Growth Option,Low to Moderate,Others,Others,UTI CCF Investment Plan
120725, UTI CCF Investment Plan - Direct Plan - IDCW,High,Others,Others,UTI CCF Investment Plan
120726, UTI Mid Cap Fund-Growth Option- Direct,Moderate,Equity Scheme,Mid Cap,UTI Mid Cap Fund
120727, UTI Mid Cap Fund - Direct Plan - IDCW,Moderate,Equity Scheme,Mid Cap,UTI Mid Cap Fund
120728, UTI Infrastructure Fund-Growth Option- Direct,Low to Moderate,Others,Others,UTI Infrastructure Fund
120729, UTI Infrastructure Fund - Direct Plan - IDCW,Moderate,Others,Others,UTI Infrastructure Fund
120730, UTI Transportation and Logistics Fund - Direct Plan - IDCW,Very High,Others,Others,UTI Transportation and Logistics Fund
120731, UTI-Transpotation and Logistics  Fund-Growth Option- Direct,Moderate,Others,Others,UTI
120732, UTI Banking and Financial Services Fund - Direct Plan - IDCW,Very High,Others,Others,UTI Banking and Financial Services Fund
120733, UTI Banking and Financial Services Fund - Direct Plan - Growth Option,Moderate,Others,Others,UTI Banking and Financial Services Fund
120734, UTI Treasury Advantage Fund - Direct Plan - Quarterly IDCW,Moderate,Debt Scheme,Low Duration,UTI Treasury Advantage Fund
120735, UTI - Treasury Advantage Fund - Direct Plan - Growth Option,Low to Moderate,Debt Scheme,Low Duration,UTI
120736, UTI Treasury Advantage Fund - Direct Plan - Monthly IDCW,Low to Moderate,Debt Scheme,Low Duration,UTI Treasury Advantage Fund
120737, UTI Treasury Advantage Fund - Direct Plan - Daily IDCW (Reinvestment),High,Debt Scheme,Low Duration,UTI Treasury Advantage Fund
120738, UTI - Treasury Advantage Fund - Direct Plan - Bonus Option,Low to Moderate,Debt Scheme,Low Duration,UTI
120739, UTI Treasury Advantage Fund - Direct Plan - Weekly IDCW,High,Debt Scheme,Low Duration,UTI Treasury Advantage Fund
120743, ICICI Prudential Long Term Bond Fund - Direct Plan - Growth,Low to Moderate,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
120744, UTI Ultra Short Term Fund - Direct Plan - Daily IDCW (Reinvestment),Low to Moderate,Debt Scheme,Ultra Short Duration,UTI Ultra Short Term Fund
120745, UTI Ultra Short Term Fund - Direct Plan - Weekly IDCW (Reinvestment),Moderately High,Debt Scheme,Ultra Short Duration,UTI Ultra Short Term Fund
120746, UTI - Ultra Short Term Fund - Direct Plan - Growth Option,Moderate,Debt Scheme,Ultra Short Duration,UTI
120747, ICICI Prudential Long Term Bond Fund - Direct Plan - Quarterly IDCW,Moderate,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
120748, ICICI Prudential Long Term Bond Fund - Direct Plan - Half Yearly IDCW,Very High,Debt Scheme,Long Duration,ICICI Prudential Long Term Bond Fund
120749, UTI-Dividend Yield Fund.-Growth-Direct,Moderately High,Equity Scheme,Dividend Yield,UTI
120750, UTI Dividend Yield Fund - Direct Plan - IDCW,Very High,Equity Scheme,Dividend Yield,UTI Dividend Yield Fund
120751, UTI Value Opportunities Fund- Direct Plan - Growth Option,Moderately High,Equity Scheme,Value,UTI Value Opportunities Fund
120752, UTI Value Opportunities Fund - Direct Plan - IDCW,Very High,Equity Scheme,Value,UTI Value Opportunities Fund
120753, ICICI Prudential Short Term Fund - Direct Plan - Reinvestment of IDCW Fortnightly,Moderate,Debt Scheme,Short Duration,ICICI Prudential Short Term Fund
120754, ICICI Prudential Short Term Fund - Direct Plan - Growth Option,Moderate,Debt Scheme,Short Duration,ICICI Prudential Short Term Fund
120755, ICICI Prudential Short Term Fund - Direct Plan - Monthly IDCW,Low to Moderate,Debt Scheme,Short Duration,ICICI Prudential Short Term Fund
120760, UTI - Multi Asset Fund- Direct Plan - Growth Option,Low to Moderate,Hybrid Scheme,Multi Asset Allocation,UTI
120761, UTI Multi Asset Fund - Direct Plan - IDCW,Moderately High,Hybrid Scheme,Multi Asset Allocation,UTI Multi Asset Fund
120762, UTI Dynamic Bond Fund - Direct Plan - Growth Option,Low to Moderate,Debt Scheme,Dynamic Bond,UTI Dynamic Bond Fund
120763, UTI Dynamic Bond Fund - Direct Plan - Quarterly IDCW,Very High,Debt Scheme,Dynamic Bond,UTI Dynamic Bond Fund
120764, UTI Credit Risk Fund - Direct Plan - Growth Option,Very High,Debt Scheme,Credit Risk,UTI Credit Risk Fund
120765, UTI Credit Risk Fund - Direct Plan - Quarterly IDCW,Very High,Debt Scheme,Credit Risk,UTI Credit Risk Fund
120766, UTI - Retirement Benefit Pension Fund- Direct,Low to Moderate,Others,Others,UTI
120771, UTI CCF Saving Plan - Direct Plan,Low to Moderate,Others,Others,UTI CCF Saving Plan
120772, UTI Money Market Fund - Direct Plan - Daily IDCW (Reinvestment),Low,Debt Scheme,Money Market,UTI Money Market Fund
120777, UTI Liquid Cash Plan - Direct Plan - Weekly IDCW,Very High,Debt Scheme,Liquid,UTI Liquid Cash Plan
120778, UTI Regular Savings Fund - Direct Plan - Monthly IDCW,Moderate,Hybrid Scheme,Conservative Hybrid,UTI Regular Savings Fund
120779, UTI - Regular Savings Fund - Direct Plan - Growth Option,Moderate,Hybrid Scheme,Conservative Hybrid,UTI
120780, UTI India Consumer Fund - Direct Plan - Growth Option,Low to Moderate,Others,Others,UTI India Consumer Fund
120781, UTI India Consumer Fund - Direct Plan - IDCW,Moderately High,Others,Others,UTI India Consumer Fund
120782, UTI Healthcare Fund - Direct Plan - Growth Option,Low to Moderate,Others,Others,UTI Healthcare Fund
120783, UTI Healthcare Fund - Direct Plan - IDCW,Moderate,Others,Others,UTI Healthcare Fund
120784, UTI - Unit Linked Insurance Plan- Direct,Low to Moderate,Others,Others,UTI
120785, UTI - Overnight Fund - Direct Plan - Growth Option,Moderate,Debt Scheme,Overnight,UTI
120786, UTI Overnight Fund - Direct Plan - Periodic IDCW,Moderately High,Debt Scheme,Overnight,UTI Overnight Fund
120789, UTI Regular Savings Fund - Direct Plan - Flexi IDCW,Moderately High,Hybrid Scheme,Conservative Hybrid,UTI Regular Savings Fund
120790, UTI - Regular Savings Fund - Direct Plan - Monthly Payment Option,Moderately High,Hybrid Scheme,Conservative Hybrid,UTI
120791, UTI Gilt Fund - Direct Plan - IDCW,Low to Moderate,Debt Scheme,Gilt,UTI Gilt Fund
120792, UTI - GILT FUND - Direct Plan - Growth Option,Moderately High,Debt Scheme,Gilt,UTI
120793, UTI Money Market Fund - Direct Plan - Weekly IDCW,Moderate,Debt Scheme,Money Market,UTI Money Market Fund
120794, UTI Liquid Cash Plan - Direct Plan - Monthly IDCW,Low to Moderate,Debt Scheme,Liquid,UTI Liquid Cash Plan
120795, UTI Arbitrage Fund - Direct Plan - Growth Option,Moderately High,Hybrid Scheme,Arbitrage,UTI Arbitrage Fund
120796, UTI Arbitrage Fund - Direct Plan - IDCW,Low to Moderate,Hybrid Scheme,Arbitrage,UTI Arbitrage Fund
120798, Nippon India Yearly Interval Fund - Series 1 - Growth Plan - Growth Option,High,Others,Others,Nippon India Yearly Interval Fund
120799, Nippon India Yearly Interval Fund - Series 1 - Direct Plan - Growth Plan - Growth Option,Low to Moderate,Others,Others,Nippon India Yearly Interval Fund
120800, Nippon India Yearly Interval Fund - Series 1 - Direct Plan - Dividend Plan - Dividend Option,Low,Others,Others,Nippon India Yearly Interval Fund
120802, Nippon India Yearly Interval Fund - Series 1 - Dividend Plan - Dividend Option,Moderately High,Others,Others,Nippon India Yearly Interval Fund
120811, ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Direct Plan -  Quarterly Dividend Payout,Moderate,Others,Others,ICICI Prudential Interval Fund IV Quarterly Interval Plan B
120812, ICICI Prudential Capital Protection Oriented Fund III - PLAN E - 60 Months - Dividend,Low,Others,Others,ICICI Prudential Capital Protection Oriented Fund III
120813, ICICI Prudential Capital Protection Oriented Fund III - PLAN E - 60 Months - Cumulative,Very High,Others,Others,ICICI Prudential Capital Protection Oriented Fund III
120814, ICICI Prudential Capital Protection Oriented Fund III - PLAN E - 60 Months - Direct Plan - Cumulative,Very High,Others,Others,ICICI Prudential Capital Protection Oriented Fund III
120815, ICICI Prudential Capital Protection Oriented Fund III - PLAN E - 60 Months - Direct Plan - Dividend,Moderately High,Others,Others,ICICI Prudential Capital Protection Oriented Fund III
120818, quant Absolute Fund-IDCW Option-Direct Plan,Very High,Hybrid Scheme,Aggressive Hybrid,quant Absolute Fund
120819, quant Absolute Fund-Growth Option-Direct Plan,High,Hybrid Scheme,Aggressive Hybrid,quant Absolute Fund
120820, quant Multi Asset Fund - IDCW Option - Direct Plan,Low to Moderate,Hybrid Scheme,Multi Asset Allocation,quant Multi Asset Fund
120821, quant Multi Asset Fund-GROWTH OPTION-Direct Plan,High,Hybrid Scheme,Multi Asset Allocation,quant Multi Asset Fund
120822, quant Active Fund-IDCW Option - Direct Plan,Moderate,Equity Scheme,Multi Cap,quant Active Fund
120823, quant Active Fund-GROWTH OPTION-Direct Plan,Moderately High,Equity Scheme,Multi Cap,quant Active Fund
120824, quant Large & Mid Cap Fund - Bonus Option-Direct Plan,Moderate,Equity Scheme,Large & Mid Cap,quant Large & Mid Cap Fund
120825, quant Large & Mid Cap Fund - IDCW Option - Direct Plan,Low to Moderate,Equity Scheme,Large & Mid Cap,quant Large & Mid Cap Fund
120826, quant Large & Mid Cap Fund - Growth Option-Direct Plan,High,Equity Scheme,Large & Mid Cap,quant Large & Mid Cap Fund
120827, quant Small Cap Fund - IDCW Option - Direct Plan,Moderate,Equity Scheme,Small Cap,quant Small Cap Fund
120828, quant Small Cap Fund - Growth Option - Direct Plan,High,Equity Scheme,Small Cap,quant Small Cap Fund
120832, quant Infrastructure Fund - IDCW Option - Direct Plan,Moderate,Others,Others,quant Infrastructure Fund
120833, quant Infrastructure Fund - Growth Option-Direct Plan,High,Others,Others,quant Infrastructure Fund
120834, quant Focused Fund - Growth Option-Direct Plan,Low to Moderate,Equity Scheme,Focused,quant Focused Fund
120835, quant Focused Fund - IDCW Option - Direct Plan,Very High,Equity Scheme,Focused,quant Focused Fund
120836, quant Liquid Fund-Daily IDCW Option - Direct Plan,Low,Debt Scheme,Liquid,quant Liquid Fund
120837, quant Liquid Fund - Growth Option - Direct Plan,Low to Moderate,Debt Scheme,Liquid,quant Liquid Fund
120838, quant Liquid Fund - Monthly IDCW Option - Direct Plan,Very High,Debt Scheme,Liquid,quant Liquid Fund
120839, quant Liquid Fund - Weekly IDCW Option - Direct Plan,Low to Moderate,Debt Scheme,Liquid,quant Liquid Fund
120840, quant Mid Cap Fund - IDCW Option - Direct Plan,Moderate,Equity Scheme,Mid Cap,quant Mid Cap Fund
120841, quant Mid Cap Fund - Growth Option - Direct Plan,Moderate,Equity Scheme,Mid Cap,quant Mid Cap Fund
120842, quant Consumption Fund - IDCW Option - Direct Plan,High,Others,Others,quant Consumption Fund
120843, quant Consumption Fund - Growth Option-Direct Plan,Low,Others,Others,quant Consumption Fund
120846, quant Tax Plan - IDCW Option - Direct Plan,Moderate,Equity Scheme,ELSS,quant Tax Plan
120847, quant Tax Plan - Growth Option - Direct Plan,Low to Moderate,Equity Scheme,ELSS,quant Tax Plan
120870, ICICI Prudential Smallcap Fund - Direct Plan - IDCW,High,Equity Scheme,Small Cap,ICICI Prudential Smallcap Fund
120876, UTI FIIF Sr-2 Quarterly Interval Plan VII - Direct Plan - IDCW,Moderately High,Others,Others,UTI FIIF Sr
120877, UTI F I I F Series II -Quarterly Interval Plan - VII - Direct Plan - Growth Option,Very High,Others,Others,UTI F I I F Series II
120902, UTI FIIF Monthly Interval Plan II - Direct Plan - Monthly IDCW,Low to Moderate,Others,Others,UTI FIIF Monthly Interval Plan II
120903, UTI Fixed Income Interval Fund - Monthly Interval Plan II-Direct Plan - Growth Option,Moderate,Others,Others,UTI Fixed Income Interval Fund
120954, Reliance Yearly Interval Fund - Series 2 - Direct Plan - Dividend Plan - Dividend Option,Low to Moderate,Others,Others,Reliance Yearly Interval Fund
120955, Reliance Yearly Interval Fund - Series 2 - Direct Plan - Growth Plan - Growth Option,Moderate,Others,Others,Reliance Yearly Interval Fund
120956, Reliance Yearly Interval Fund - Series 2 - Growth Plan - Growth Option,Moderately High,Others,Others,Reliance Yearly Interval Fund
120957, Reliance Yearly Interval Fund - Series 2 - Dividend Plan - Dividend Option,Low,Others,Others,Reliance Yearly Interval Fund
120970, UTI - Fixed Income Interval Fund - Monthly Interval Plan  - Direct Plan - Growth Option,Very High,Others,Others,UTI
120975, UTI FIIF Monthly Interval Plan I - Direct Plan - Monthly IDCW,Moderate,Others,Others,UTI FIIF Monthly Interval Plan I
120984, IDFC YS Interval Fund - Series II-Regular Plan-Growth,Low to Moderate,Others,Others,IDFC YS Interval Fund
120985, IDFC YS Interval Fund - Series II-Regular Plan-Dividend,Low to Moderate,Others,Others,IDFC YS Interval Fund
120986, IDFC YS Interval Fund - Series II-Direct Plan-Growth,Moderate,Others,Others,IDFC YS Interval Fund
120992, HDFC FMP 1198D February 2013 (1)-Direct Plan-Growth Option,Low,Others,Others,HDFC FMP 1198D February 2013 (1)
120993, HDFC FMP 1198D February 2013 (1)-Regular Plan-Growth Option,High,Others,Others,HDFC FMP 1198D February 2013 (1)
120994, HDFC FMP 1198D February 2013 (1)-Regular Plan-Quarterly Dividend Option,Moderate,Others,Others,HDFC FMP 1198D February 2013 (1)
120995, HDFC FMP 1198D February 2013 (1)-Regular Plan-Dividend Option,Low to Moderate,Others,Others,HDFC FMP 1198D February 2013 (1)
120996, HDFC FMP 1198D February 2013 (1)-Direct Plan-Dividend Option,Moderately High,Others,Others,HDFC FMP 1198D February 2013 (1)
120997, HDFC FMP 1198D February 2013 (1)-Direct Plan-Quarterly Dividend Option,High,Others,Others,HDFC FMP 1198D February 2013 (1)
120998, HDFC FMP 1198D February 2013 (1)-Direct Plan-Flexi Option,Moderate,Others,Others,HDFC FMP 1198D February 2013 (1)
120999, HDFC FMP 1198D February 2013 (1)-Regular Plan-Flexi Option,Very High,Others,Others,HDFC FMP 1198D February 2013 (1)
121033, UTI FIIF Sr-2 Quarterly Interval Plan IV - Direct Plan - IDCW,Moderately High,Others,Others,UTI FIIF Sr
121034, UTI F I I F Series II -Quarterly Interval Plan - IV -Direct Plan - Growth Option,Low to Moderate,Others,Others,UTI F I I F Series II
121087, ICICI Prudential Capital Protection Oriented Fund III - PLAN F - 36 Months - Direct Plan - Cumulative,Low to Moderate,Others,Others,ICICI Prudential Capital Protection Oriented Fund III
121088, ICICI Prudential Capital Protection Oriented Fund III - PLAN F - 36 Months - Direct Plan - Dividend,Moderate,Others,Others,ICICI Prudential Capital Protection Oriented Fund III
121089, ICICI Prudential Capital Protection Oriented Fund III - PLAN F - 36 Months - Cumulative,Moderately High,Others,Others,ICICI Prudential Capital Protection Oriented Fund III
121090, ICICI Prudential Capital Protection Oriented Fund III - PLAN F - 36 Months - Dividend,Moderate,Others,Others,ICICI Prudential Capital Protection Oriented Fund III
121095, Reliance Dual Advantage Fixed Tenure Fund III - Plan A - Direct Plan - Growth Option,Very High,Others,Others,Reliance Dual Advantage Fixed Tenure Fund III
121096, Reliance Dual Advantage Fixed Tenure Fund III - Plan A - Direct Plan - Dividend Payout Option,Low,Others,Others,Reliance Dual Advantage Fixed Tenure Fund III
121097, Reliance Dual Advantage Fixed Tenure Fund III - Plan A - Growth Option,Moderate,Others,Others,Reliance Dual Advantage Fixed Tenure Fund III
121098, Reliance Dual Advantage Fixed Tenure Fund III - Plan A - Dividend Payout Option,Low to Moderate,Others,Others,Reliance Dual Advantage Fixed Tenure Fund III
121109, SBI-ETF SENSEX,Low to Moderate,Other Scheme,Indexs/ETFs,SBI
121126, ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - A - Direct Plan - Dividend,High,Others,Others,ICICI Prudential Interval Fund
121127, ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - A - Direct Plan - Cumulative,Low to Moderate,Others,Others,ICICI Prudential Interval Fund
121129, ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - A - Cumulative,Very High,Others,Others,ICICI Prudential Interval Fund
121143, ICICI Prudential Capital Protection Oriented Fund III - PLAN G - 60 Months - Dividend,Low to Moderate,Others,Others,ICICI Prudential Capital Protection Oriented Fund III
121144, ICICI Prudential Capital Protection Oriented Fund III - PLAN G - 60 Months - Direct Plan - Cumulative,High,Others,Others,ICICI Prudential Capital Protection Oriented Fund III
121145, ICICI Prudential Capital Protection Oriented Fund III - PLAN G - 60 Months - Cumulative,Moderate,Others,Others,ICICI Prudential Capital Protection Oriented Fund III
121146, Nippon India ETF Nifty 100,Very High,Other Scheme,Indexs/ETFs,Nippon India ETF Nifty 100
121177, Reliance Yearly Interval Fund - Series 3 - Direct Plan - Growth Plan - Growth Option,Moderate,Others,Others,Reliance Yearly Interval Fund
121178, Reliance Yearly Interval Fund - Series 3 - Dividend Plan - Dividend Option,Moderate,Others,Others,Reliance Yearly Interval Fund
121180, Reliance Yearly Interval Fund - Series 3 - Growth Plan - Growth Option,Moderate,Others,Others,Reliance Yearly Interval Fund
121181, UTI FIIF Sr-2 Quarterly Interval Plan V - Direct Plan - IDCW,Moderately High,Others,Others,UTI FIIF Sr
121182, UTI F I I F Series II -Quarterly Interval Plan - V - Direct Plan - Growth Option,High,Others,Others,UTI F I I F Series II
121263, HDFC Rajiv Gandhi Equity Savings Scheme - Series 1 - February 2013-Regular Plan-Growth Option,High,Others,Others,HDFC Rajiv Gandhi Equity Savings Scheme
